קו,מפעיל,כיוון,חלופה,מקט,מוצא,יעד,תאור,אורך,"מספר תחנות","יציאות ביום ג","יציאות שבועיות",סוג,שרות,יחודיות,"סוג אוטובוס",שבת,נגיש,אשכול,מחוז,"מספר חלופה"
35,"דן דרום",2,2,13035,אשכול,"באר שבע","מסוף מועצה אזורית אשכול/רציפים - ת.מרכזית באר שבע/הורדה",46.3,33,'-,6,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,"צפון הנגב",הדרום,1807
35,"דן דרום",2,3,13035,אשכול,"באר שבע","מסוף מועצה אזורית אשכול/רציפים - ת.מרכזית באר שבע/הורדה",49.5,36,3,15,בין-עירוני,מאסף,סדיר,"בין עירוני",כן,לא,"צפון הנגב",הדרום,1808
36,מטרו,1,#,26036,"באר שבע","ביר הדאג'","ת.מרכזית באר שבע/רציפים בינעיר - תיכון אורט",43.9,31,6,32,אזורי,מאסף,סדיר,"בין עירוני",לא,כן,הנגב,הדרום,15271
36,מטרו,1,1,26036,"באר שבע","ביר הדאג'","ת.מרכזית באר שבע/רציפים בינעיר - תיכון אורט",49.7,32,1,6,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,30779
36,מטרו,2,#,26036,"ביר הדאג'","באר שבע","תיכון אורט - ת.מרכזית באר שבע/הורדה",46.9,32,6,32,אזורי,מאסף,סדיר,"בין עירוני",לא,כן,הנגב,הדרום,15272
36,מטרו,2,1,26036,"ביר הדאג'","באר שבע","תיכון אורט - ת.מרכזית באר שבע/הורדה",50.7,33,1,6,אזורי,מאסף,סדיר,"בין עירוני",לא,כן,הנגב,הדרום,28125
37,מטרו,1,#,17037,"באר שבע",עומר,"ת.מרכזית באר שבע/רציפים בינעיר - תמר/חצב",18.7,38,3,15,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,7979
37,מטרו,2,1,17037,עומר,"באר שבע","תמר/חצב - ת.מרכזית באר שבע/הורדה",20.1,46,1,5,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,7983
37,מטרו,3,#,17037,"באר שבע","באר שבע","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית באר שבע/הורדה",26.1,52,18,103,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,7985
37,מטרו,3,3,17037,"באר שבע","באר שבע","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית באר שבע/הורדה",28.4,54,2,13,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,20242
40,"דן דרום",1,#,31040,"באר שבע",מרחבים,"ת.מרכזית באר שבע/רציפים בינעיר - מחנה חצרים",16.1,21,7,35,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16618
40,"דן דרום",2,#,31040,מרחבים,"באר שבע","מחנה חצרים - ת.מרכזית באר שבע/הורדה",16.4,20,8,40,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16619
41,"דן דרום",1,#,26041,"באר שבע",מרחבים,"ת.מרכזית באר שבע/רציפים בינעיר - מחנה חצרים",15.2,20,10,58,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16620
41,"דן דרום",2,#,26041,מרחבים,"באר שבע","מחנה חצרים - ת.מרכזית באר שבע/הורדה",15.6,19,6,37,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16622
44,מטרו,1,#,19044,"באר שבע","ניצני סיני","ת.מרכזית באר שבע/רציפים בינעיר - קדש ברנע",96.8,40,5,32,אזורי,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,7988
44,מטרו,2,#,19044,"ניצני סיני","באר שבע","קדש ברנע - ת.מרכזית באר שבע/הורדה",99.4,38,4,23,אזורי,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8004
45,מטרו,1,#,21045,"באר שבע","כפר רתמים","ת.מרכזית באר שבע/רציפים בינעיר - רתמים   מרכז",47.3,29,7,39,אזורי,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8025
45,מטרו,2,#,21045,"כפר רתמים","באר שבע","רתמים   מרכז - ת.מרכזית באר שבע/הורדה",47.4,29,1,6,אזורי,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8034
45,מטרו,2,4,21045,"כפר רתמים","באר שבע","רתמים   מרכז - ת.מרכזית באר שבע/הורדה",47.3,28,6,33,אזורי,מאסף,סדיר,"בין עירוני",כן,לא,הנגב,הדרום,8038
46,מטרו,3,#,18046,"באר שבע","באר שבע","ת.מרכזית באר שבע/רציפים בינעיר - ת.מרכזית באר שבע/הורדה",11.3,16,8,42,אזורי,מאסף,סדיר,"בין עירוני",לא,לא,הנגב,הדרום,8045
47,"דן דרום",1,#,14047,"באר שבע",להבים,"ת.מרכזית באר שבע/רציפים בינעיר - ת. רכבת להבים רהט",26.1,32,16,89,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16542
47,"דן דרום",2,#,14047,להבים,"באר שבע","ת. רכבת להבים רהט - ת.מרכזית באר שבע/הורדה",26.9,31,16,89,בין-עירוני,מהיר,סדיר,"בין עירוני",לא,לא,"צפון הנגב",הדרום,16543
48,אגד,1,#,14048,"באר שבע",דימונה,"ת.מרכזית באר שבע/רציפים בינעיר - שוק עירוני",43.2,35,50,278,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7361
48,אגד,1,פ,14048,"באר שבע",דימונה,"ת.מרכזית באר שבע/רציפים בינעיר - שוק עירוני",45.8,40,1,6,בין-עירוני,ישיר,תלמידים,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7363
48,אגד,2,#,14048,דימונה,"באר שבע","שוק עירוני - ת.מרכזית באר שבע/הורדה",42.4,31,45,269,בין-עירוני,ישיר,סדיר,"בין עירוני",כן,לא,"אשכול דרומי",הדרום,7364
49,אגד,1,#,14049,"באר שבע",דימונה,"אצטדיון טרנר - שוק עירוני",52.6,59,12,61,בין-עירוני,מאסף,סדיר,"בין עירוני",לא,לא,"אשכול דרומי",הדרום,21344
